ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
232,F,68.0,Others,79.0,Others,Science,64.0,Engineering,0,,0,0.0,0.0,62.89,Marketing & HR,52,61,69
233,F,66.5,ICSE,58.8,Others,Science,57.8,Management,0,CAT,1,60.0,60.0,63.42,Marketing & HR,74,69,51
234,M,61.0,ICSE,50.0,ISC,Science,62.0,Science,2,,0,0.0,0.0,61.22,Marketing & HR,52,61,80
235,M,75.0,Others,68.0,Others,Science,68.0,Computer Applications,0,MAT,1,60.0,60.0,61.87,Marketing & Finance,61,67,65
236,F,68.0,CBSE,69.0,CBSE,Commerce,40.0,Commerce,0,MAT,1,74.0,74.0,62.8,Marketing & HR,55,59,82
237,M,66.0,ICSE,50.66,CBSE,Science,52.0,Engineering,1,MAT,1,56.0,56.0,61.3,Marketing & Finance,71,60,66
238,M,60.0,CBSE,63.0,Others,Science,65.0,Management,0,MAT,1,53.7,53.7,55.01,Marketing & HR,50,64,60
239,M,47.0,CBSE,63.0,CBSE,Arts,57.0,Management,2,MAT,1,64.25,64.25,58.54,Marketing & HR,54,62,52
240,M,69.0,CBSE,54.0,Others,Science,64.0,Management,0,MAT,1,74.0,74.0,57.99,Marketing & Finance,50,66,60
241,M,58.0,Others,59.0,Others,Commerce,48.0,Commerce,0,MAT,1,79.0,79.0,54.01,Marketing & Finance,54,78,54
242,M,73.0,CBSE,77.0,CBSE,Science,76.0,Science,1,MAT,1,97.0,97.0,70.48,Marketing & HR,66,62,78
243,M,50.0,ICSE,64.0,Others,Commerce,50.0,Commerce,0,CAT,1,13.0,13.0,57.76,Marketing & Finance,50,76,50
244,M,74.0,CBSE,65.0,CBSE,Commerce,53.0,Management,1,MAT,1,58.0,58.0,54.43,Marketing & Finance,50,70,54
245,F,68.3,ICSE,86.33,Others,Commerce,80.0,Management,0,MAT,1,80.0,80.0,74.56,Marketing & Finance,71,74,77
246,M,80.0,Others,80.0,Others,Commerce,64.0,Management,1,,0,0.0,0.0,69.08,Marketing & Finance,70,74,73
247,M,58.0,ICSE,78.0,ISC,Commerce,63.0,Commerce,0,,0,0.0,0.0,60.29,Marketing & Finance,54,62,53
248,F,51.0,CBSE,52.0,Others,Commerce,50.0,Management,0,MAT,1,55.0,55.0,57.9,Marketing & HR,66,69,77
249,F,77.0,Others,82.0,Others,Commerce,75.0,Commerce,0,CAT,1,60.0,60.0,66.63,Marketing & Finance,64,77,62
250,M,67.0,ICSE,63.0,Others,Science,55.0,Management,0,MAT,1,89.0,89.0,60.22,Marketing & HR,66,63,61
251,M,59.0,Others,64.0,ISC,Commerce,63.0,Management,0,CAT,1,29.0,29.0,53.57,Marketing & HR,55,73,63
252,M,52.0,Others,54.0,Others,Commerce,58.0,Management,0,,0,0.0,0.0,51.75,Marketing & HR,53,51,50
253,M,68.0,Others,68.0,Others,Science,70.0,Engineering,0,CAT,1,68.0,68.0,67.31,Marketing & Finance,53,76,78
254,F,40.0,CBSE,40.0,Others,Commerce,51.0,Management,0,PGCET,1,49.0,49.0,51.75,Marketing & Finance,50,59,53
255,M,70.0,CBSE,73.0,Others,Commerce,64.0,Management,0,MAT,1,84.0,84.0,64.15,Marketing & Finance,52,62,53
256,F,61.0,Others,49.0,Others,Science,63.0,Computer Applications,0,K-MAT,1,43.5,43.5,67.13,Marketing & HR,59,68,63
257,M,57.0,ICSE,62.0,ISC,Commerce,52.8,Commerce,1,MAT,1,67.0,67.0,62.79,Marketing & HR,63,66,74
258,M,79.0,CBSE,65.0,CBSE,Commerce,65.0,Management,0,MAT,1,44.56,44.56,64.75,Marketing & Finance,64,67,66
259,M,45.0,CBSE,55.0,Others,Science,54.0,Management,1,MAT,1,70.0,70.0,53.2,Marketing & Finance,53,62,53
260,F,61.28,Others,70.83,Others,Commerce,63.79,Management,0,MAT,1,60.0,60.0,57.29,Marketing & HR,54,67,69
261,M,62.0,Others,53.0,ISC,Science,68.0,Management,0,MAT,1,72.0,72.0,61.01,Marketing & Finance,53,72,63
262,F,52.0,CBSE,58.0,CBSE,Arts,50.0,Arts,2,MAT,1,80.0,80.0,56.63,Marketing & HR,51,70,67
263,M,54.0,CBSE,59.2,CBSE,Commerce,49.2,Commerce,0,,0,0.0,0.0,52.32,Marketing & Finance,52,64,50
